no,events,accident
5176,수동 복귀 수동 지연 점검 대기 해제 자동 지연 복귀 수동 지연 통과 경보 자동 해제 해제 점검 지연 해제 점검 진입 지연 경보 자동 지연 경보 지연 해제 경보 진입 해제 대기,1
5025,자동 진입 점검 대기 해제 통과 진입 수동 대기 통과 해제 통과 통과 자동 복귀 수동 수동 경보 자동 진입 지연 통과 대기 해제 복귀 통과 대기 대기 해제 진입 통과 통과 해제 복귀 해제 대기,0
5364,수동 경보 지연 진입 통과 해제 점검 점검 해제 수동 해제 자동 수동 지연 통과 자동 복귀 지연 경보 자동 진입 지연 진입 통과,1
5029,자동 진입 지연 경보 통과 점검 복귀 수동 경보 경보 지연 진입 자동 자동 경보 경보 지연 통과 대기 점검 수동 해제 수동 경보 대기 대기 통과,0
5015,자동 점검 수동 통과 복귀 진입 통과 점검 수동 진입 경보 복귀 경보 진입 통과 통과 대기 자동 통과 대기 지연 진입 해제 통과 진입 경보 자동 경보 수동 점검 통과 진입 경보 진입 지연 해제,0
5268,수동 지연 해제 복귀 통과 지연 복귀 진입 해제 점검 자동 해제 점검 복귀 대기 자동 대기 수동 경보 수동 점검 점검 점검 자동 진입,1
5111,자동 해제 진입 자동 지연 복귀 경보 통과 복귀 해제 대기 지연 통과 대기 대기 통과 통과 지연 통과 지연 진입 해제 진입 수동 수동 수동 점검 해제 자동 복귀 점검 복귀,0
5036,수동 경보 해제 점검 경보 지연 자동 점검 지연 지연 자동 통과 점검 경보 지연 수동 자동 대기 해제 통과 대기 점검 경보 통과 복귀 복귀 경보 수동 경보 대기 지연 점검 점검 복귀,1
5146,수동 수동 통과 진입 통과 해제 대기 자동 점검 통과 지연 해제 대기 해제 대기 경보 수동 대기 자동 지연 대기 자동 지연 경보 해제 통과,1
5173,자동 대기 복귀 대기 진입 점검 복귀 수동 경보 진입 진입 통과 점검 진입 해제 해제 복귀 자동 경보 통과 해제 복귀 수동 자동 대기 진입 경보 복귀 점검 수동,0
5020,수동 복귀 해제 자동 복귀 점검 대기 자동 대기 복귀 대기 복귀 진입 자동 복귀 통과 진입 대기 진입 진입 복귀 해제 점검 해제 대기 진입 지연 지연 경보 점검 수동 수동 경보 대기,1
5086,수동 진입 해제 복귀 복귀 대기 자동 통과 복귀 통과 진입 해제 점검 통과 점검 대기 자동 진입 자동 경보 진입 해제 점검 통과 통과 경보 경보 해제 통과 수동 점검 수동,1
5251,자동 진입 지연 경보 진입 지연 해제 해제 경보 수동 점검 복귀 지연 대기 해제 진입 해제 경보 경보 해제 경보 점검 통과 해제 자동 대기 통과 대기 진입 대기 점검 수동 통과 자동 지연 수동,0
5226,수동 점검 대기 대기 자동 통과 해제 경보 대기 대기 복귀 수동 지연 경보 진입 진입 통과 통과 수동 점검 복귀 복귀 진입 해제 경보 자동 경보 해제 진입 자동 점검 지연 복귀,1
5003,자동 대기 수동 진입 대기 경보 경보 경보 대기 복귀 경보 경보 복귀 경보 진입 진입 수동 지연 경보 복귀 경보 통과 자동 지연 자동 대기 복귀 해제 대기 점검 수동 점검 경보 진입,0
5385,자동 경보 점검 경보 수동 수동 수동 복귀 진입 진입 진입 통과 점검 지연 대기 자동 진입 경보 경보 지연 복귀 진입 경보 해제 자동 해제,0
5053,자동 진입 경보 대기 경보 경보 자동 점검 점검 지연 지연 복귀 자동 통과 진입 해제 점검 점검 수동 수동 대기 진입 점검 수동 통과 해제 복귀 진입 지연 점검 통과,0
5203,자동 진입 수동 경보 복귀 경보 지연 해제 해제 진입 자동 해제 해제 지연 수동 진입 대기 지연 경보 지연 점검 지연 점검 점검 지연 해제 지연 경보 복귀 복귀 진입 지연 수동 자동 지연 복귀,0
5180,수동 해제 지연 대기 점검 점검 자동 자동 통과 복귀 경보 복귀 진입 해제 점검 대기 복귀 복귀 대기 자동 복귀 해제 지연 지연 점검 점검 수동 수동 진입 점검 통과,1
5302,수동 통과 경보 지연 점검 복귀 통과 경보 대기 지연 수동 통과 통과 자동 점검 복귀 경보 통과 통과 수동 대기 진입 대기 경보 경보 점검 점검 통과 통과 점검 자동 대기 자동,1
5394,수동 해제 경보 자동 진입 진입 해제 경보 자동 통과 경보 대기 통과 진입 경보 해제 점검 점검 복귀 통과 지연 복귀 대기 점검 경보 수동 지연 대기 복귀 해제 진입 수동 진입 자동 경보 복귀,1
5356,수동 진입 경보 해제 자동 해제 진입 지연 진입 통과 해제 대기 진입 통과 자동 점검 통과 수동 지연 통과 통과 통과 통과 점검 대기 통과 진입 진입 자동 경보 대기 해제 지연 수동 복귀,1
5333,자동 통과 자동 수동 대기 점검 점검 경보 지연 점검 점검 복귀 경보 점검 복귀 지연 수동 경보 복귀 복귀 지연 수동 복귀 진입 해제 지연 대기 자동 경보,0
5113,자동 지연 진입 수동 지연 통과 경보 해제 경보 대기 점검 자동 대기 경보 진입 수동 복귀 진입 수동 대기 점검 통과 대기 통과 지연 자동 경보 해제 진입 점검 진입,0
5070,수동 진입 진입 복귀 지연 자동 진입 지연 복귀 통과 해제 점검 수동 지연 해제 자동 자동 복귀 복귀 지연 대기 점검 수동 해제,1
5366,수동 경보 진입 통과 통과 해제 복귀 해제 해제 경보 복귀 자동 해제 해제 통과 수동 점검 복귀 복귀 진입 지연 수동 진입 자동 자동 대기 통과 대기 경보 경보 점검 해제 통과 지연 대기 대기,1
5376,수동 점검 지연 해제 자동 경보 지연 복귀 해제 경보 해제 복귀 해제 대기 통과 통과 자동 통과 지연 경보 복귀 대기 자동 진입 진입 통과 수동 복귀 수동 경보,1
5338,수동 통과 진입 수동 지연 경보 지연 복귀 복귀 경보 대기 자동 복귀 대기 경보 진입 지연 진입 경보 통과 통과 경보 자동 대기 자동 지연 진입 수동 복귀 진입 해제 진입 지연 해제 통과,1
5081,자동 경보 수동 경보 경보 점검 진입 대기 통과 통과 지연 경보 대기 경보 경보 진입 점검 대기 진입 통과 지연 점검 점검 대기 통과 수동 자동 통과 복귀 자동 점검 진입 통과 진입 수동 점검,0
5120,수동 대기 자동 지연 해제 점검 복귀 통과 진입 자동 통과 점검 해제 복귀 대기 수동 대기 복귀 수동 통과 진입 진입 복귀 진입 자동 경보 통과 복귀 점검 복귀 해제 진입 복귀 대기 통과,1
5125,자동 통과 복귀 통과 진입 경보 복귀 수동 경보 대기 경보 경보 점검 진입 진입 대기 자동 점검 대기 통과 통과 통과 지연 수동 해제 경보 지연 지연 수동 자동 복귀,0
5032,수동 지연 지연 점검 점검 경보 해제 진입 통과 경보 지연 자동 지연 점검 통과 경보 경보 점검 수동 경보 경보 통과 점검 수동 자동 해제 경보 대기 통과 통과 해제 자동,1
5047,자동 경보 통과 대기 통과 통과 자동 수동 대기 대기 경보 진입 지연 진입 통과 진입 수동 지연 점검 자동 점검 해제 진입 점검 수동 지연 지연 대기 점검 진입 해제 통과 대기 통과,0
5191,자동 자동 경보 복귀 점검 점검 진입 지연 지연 통과 수동 자동 지연 경보 수동 해제 통과 점검 경보 경보 대기 경보 경보 수동 해제 복귀 대기 경보 지연 통과 대기 대기 복귀 복귀 진입,0
5246,수동 진입 점검 복귀 자동 지연 해제 자동 수동 지연 복귀 지연 복귀 점검 통과 대기 통과 경보 지연 해제 통과 대기 자동 수동,1
5037,자동 대기 통과 복귀 지연 해제 대기 통과 수동 해제 진입 수동 통과 자동 점검 통과 통과 지연 해제 점검 대기 지연 진입 해제 진입 수동 대기 경보 자동,0
5283,자동 경보 해제 통과 대기 지연 자동 지연 해제 수동 점검 수동 지연 자동 진입 진입 지연 통과 점검 해제 지연 대기 진입 복귀 복귀 해제 지연 수동,0
5077,자동 경보 지연 지연 대기 해제 수동 경보 경보 자동 수동 점검 지연 진입 자동 해제 통과 대기 해제 점검 점검 대기 점검 해제 수동 복귀 진입 대기,0
5073,자동 지연 진입 점검 진입 해제 진입 점검 점검 복귀 복귀 해제 점검 지연 진입 수동 지연 통과 자동 대기 해제 자동 대기 수동 점검 진입 대기 진입 진입 대기 수동 점검,0
5228,수동 경보 점검 통과 복귀 대기 복귀 대기 해제 수동 자동 통과 통과 경보 해제 경보 자동 대기 지연 진입 복귀 복귀 경보 진입 점검 경보 복귀 대기 대기 자동 복귀 통과 복귀 수동,1
5057,자동 자동 대기 수동 지연 해제 해제 대기 복귀 수동 진입 경보 대기 경보 해제 수동 점검 통과 진입 지연 복귀 해제 지연 대기 자동 대기 복귀 점검,0
5154,수동 수동 점검 자동 지연 통과 지연 경보 복귀 자동 복귀 경보 복귀 점검 통과 점검 점검 지연 대기 수동 진입 지연 대기 자동,1
5261,자동 수동 경보 복귀 자동 점검 수동 해제 대기 복귀 진입 진입 진입 경보 수동 복귀 점검 통과 지연 복귀 자동 진입 경보 대기 복귀 점검 경보 경보 점검 복귀 복귀 해제 통과 해제 진입,0
5178,수동 경보 진입 해제 경보 지연 자동 통과 점검 해제 경보 지연 해제 자동 경보 진입 점검 통과 자동 복귀 해제 지연 통과 점검 복귀 복귀 점검 대기 수동 점검 수동,1
5257,자동 경보 해제 복귀 수동 해제 해제 수동 복귀 점검 진입 경보 자동 지연 자동 지연 점검 통과 수동 해제 통과 대기 복귀 경보 지연 지연 경보 진입 경보,0
5252,수동 진입 경보 자동 복귀 점검 대기 해제 대기 대기 진입 점검 점검 점검 통과 복귀 수동 경보 자동 진입 경보 해제 해제 자동 복귀 수동 점검 해제,1
5068,수동 지연 자동 해제 통과 지연 통과 경보 대기 통과 점검 지연 경보 해제 통과 대기 수동 해제 지연 대기 지연 자동 통과 해제 수동 복귀 복귀 해제 복귀 자동 진입 통과 진입,1
5190,수동 대기 복귀 점검 통과 점검 진입 자동 통과 자동 수동 해제 진입 대기 통과 해제 대기 점검 복귀 지연 경보 통과 자동 지연 점검 경보 복귀 해제 진입 지연 지연 지연 점검 통과 수동 해제,1
5139,자동 수동 대기 경보 수동 지연 경보 경보 점검 통과 대기 점검 해제 대기 해제 경보 자동 복귀 수동 자동 지연 통과 지연 복귀 해제 점검 대기 점검 점검 대기,0
5072,수동 대기 복귀 경보 경보 점검 대기 해제 대기 지연 자동 경보 자동 진입 대기 복귀 경보 복귀 점검 대기 점검 진입 통과 자동 통과 통과 수동 경보 진입 대기 수동 지연 진입 통과,1
5219,자동 수동 점검 점검 통과 해제 대기 복귀 진입 해제 수동 지연 지연 점검 해제 대기 복귀 통과 수동 점검 지연 점검 진입 복귀 경보 대기 자동 자동 통과 점검 대기,0
5079,자동 지연 점검 대기 대기 복귀 통과 진입 경보 지연 점검 점검 대기 지연 복귀 해제 대기 수동 진입 통과 해제 자동 해제 통과 점검 수동 진입 통과 경보 복귀 해제 수동 지연 해제 지연 자동,0
5310,수동 지연 통과 수동 지연 경보 대기 자동 점검 점검 대기 경보 지연 지연 대기 대기 진입 자동 진입 경보 대기 진입 수동 해제 자동 대기 복귀,1
5269,자동 해제 복귀 해제 진입 해제 수동 점검 진입 진입 복귀 대기 경보 수동 해제 점검 대기 해제 통과 자동 수동 해제 해제 자동 해제 점검 경보,0
5161,자동 복귀 진입 대기 통과 진입 통과 복귀 점검 지연 자동 수동 복귀 수동 해제 점검 지연 통과 점검 진입 대기 점검 자동 통과 수동 대기 대기 해제 통과 대기 대기,0
5098,수동 지연 점검 경보 통과 지연 점검 통과 지연 자동 수동 경보 경보 진입 점검 통과 경보 지연 점검 수동 대기 지연 해제 자동 자동 진입 진입 대기 대기 점검,1
5398,수동 복귀 진입 대기 대기 점검 복귀 경보 점검 경보 자동 통과 자동 해제 진입 진입 대기 통과 자동 지연 수동 점검 지연 복귀 경보 점검 수동 지연 대기 점검 경보 지연,1
5256,수동 자동 대기 통과 점검 복귀 대기 수동 자동 경보 진입 통과 복귀 해제 지연 수동 복귀 대기 복귀 진입 지연 자동 해제 지연 복귀,1
5309,자동 대기 자동 해제 통과 점검 진입 점검 진입 해제 복귀 경보 해제 진입 통과 지연 해제 진입 지연 수동 수동 수동 복귀 지연 지연 경보 자동 대기 대기 점검 경보,0
5327,자동 수동 통과 진입 경보 지연 자동 통과 진입 복귀 진입 복귀 복귀 수동 해제 지연 대기 복귀 통과 지연 대기 복귀 대기 자동 해제 수동 진입 복귀 지연 대기,0
5321,자동 수동 해제 대기 해제 경보 복귀 지연 수동 복귀 해제 경보 지연 경보 대기 지연 점검 복귀 수동 해제 점검 점검 경보 대기 점검 복귀 지연 복귀 자동 자동,0
5351,자동 진입 지연 해제 자동 지연 대기 진입 점검 복귀 점검 통과 복귀 해제 통과 통과 점검 경보 점검 복귀 복귀 대기 수동 자동 대기 통과 점검 점검 경보 지연 수동 통과 경보 해제 수동,0
5094,수동 해제 진입 수동 점검 진입 복귀 수동 경보 대기 자동 해제 진입 복귀 자동 자동 경보 대기 대기 대기 경보 점검 점검 지연 복귀,1
5044,수동 경보 점검 해제 지연 진입 복귀 수동 통과 해제 지연 복귀 통과 자동 경보 해제 경보 점검 점검 지연 지연 해제 점검 해제 진입 지연 자동 수동 자동 해제 통과 해제,1
5090,수동 점검 통과 해제 자동 진입 해제 해제 복귀 점검 지연 지연 복귀 경보 경보 진입 수동 수동 점검 자동 점검 대기 경보 경보 복귀 점검 복귀 지연 경보 점검 자동 지연,1
5024,수동 복귀 지연 자동 수동 지연 복귀 통과 경보 지연 점검 통과 점검 점검 점검 점검 자동 자동 점검 복귀 지연 경보 해제 통과 경보 지연 수동 점검,1
5390,수동 수동 점검 진입 자동 해제 복귀 진입 자동 경보 해제 대기 지연 자동 대기 지연 점검 해제 대기 통과 점검 지연 해제 점검 경보 지연 대기 복귀 경보 진입 수동 통과,1
5224,수동 지연 통과 자동 통과 진입 진입 대기 경보 복귀 자동 지연 수동 경보 지연 대기 복귀 복귀 복귀 해제 진입 수동 지연 해제 대기 자동 진입 경보 진입 해제 대기 진입 통과 경보 경보 통과,1
5193,자동 점검 경보 해제 통과 통과 수동 복귀 경보 수동 대기 통과 해제 복귀 통과 통과 대기 복귀 점검 해제 자동 경보 점검 대기 수동 경보 자동,0
5038,수동 해제 수동 진입 해제 대기 지연 대기 진입 자동 수동 대기 복귀 통과 해제 자동 지연 대기 경보 자동 해제 점검 경보 대기 진입 통과,1
5288,수동 대기 자동 지연 해제 복귀 대기 경보 대기 자동 진입 진입 복귀 진입 진입 진입 수동 해제 진입 대기 수동 진입 경보 점검 경보 지연 자동,1
5378,수동 해제 경보 점검 진입 진입 경보 지연 지연 경보 해제 경보 자동 수동 수동 경보 점검 지연 점검 자동 대기 자동 복귀 점검 대기 진입 대기 진입,1
5194,수동 진입 경보 지연 대기 자동 자동 해제 진입 지연 복귀 점검 자동 대기 지연 지연 통과 수동 통과 대기 복귀 점검 수동 지연 통과 통과 경보,1
5275,자동 점검 진입 진입 대기 자동 복귀 수동 진입 해제 점검 경보 해제 경보 통과 자동 점검 지연 해제 복귀 해제 지연 통과 대기 해제 대기 경보 진입 진입 수동 점검 수동 대기 진입,0
5028,수동 대기 점검 자동 점검 수동 대기 통과 수동 복귀 자동 점검 자동 지연 통과 대기 통과 통과 진입 점검 경보 해제 점검 경보 지연 통과 통과 진입 해제 대기 복귀,1
5232,수동 경보 복귀 대기 해제 통과 해제 진입 통과 지연 통과 대기 통과 대기 복귀 경보 대기 자동 대기 통과 경보 자동 통과 경보 경보 수동 해제 수동 지연 자동 점검 통과 대기,1
5286,수동 점검 수동 해제 자동 경보 복귀 통과 복귀 수동 대기 자동 지연 진입 통과 점검 통과 지연 대기 진입 경보 복귀 경보 자동 복귀 대기 점검,1
5014,수동 경보 자동 통과 경보 대기 지연 진입 대기 통과 통과 복귀 복귀 통과 수동 해제 통과 대기 진입 점검 진입 지연 통과 점검 진입 해제 진입 진입 점검 지연 수동 자동 자동 진입,1
5042,수동 대기 진입 통과 통과 통과 통과 지연 경보 자동 대기 대기 진입 복귀 대기 자동 통과 복귀 수동 수동 자동 대기 지연 경보,1
5325,자동 통과 점검 경보 점검 점검 진입 수동 대기 진입 자동 해제 해제 점검 해제 대기 수동 해제 대기 수동 자동 대기 해제 해제 지연,0
5135,자동 경보 해제 복귀 통과 진입 대기 지연 복귀 진입 수동 자동 수동 통과 대기 자동 진입 대기 통과 점검 진입 경보 점검 해제 지연 지연 통과 해제 대기 통과 복귀 수동 복귀 복귀 해제 지연,0
5389,자동 점검 경보 해제 자동 해제 통과 지연 자동 수동 복귀 경보 점검 경보 지연 해제 수동 수동 점검 점검 경보 진입 대기 복귀,0
5060,수동 자동 경보 경보 복귀 복귀 수동 대기 해제 경보 대기 점검 자동 통과 자동 점검 경보 수동 점검 대기 통과 대기 대기 경보 복귀 진입 지연 지연 지연 지연 진입,1
5265,자동 대기 자동 통과 해제 수동 복귀 대기 진입 지연 점검 지연 지연 해제 지연 해제 대기 대기 통과 수동 점검 복귀 대기 진입 지연 경보 자동 진입 경보 해제 수동 경보,0
5205,자동 경보 지연 대기 지연 점검 통과 수동 복귀 수동 복귀 해제 복귀 자동 진입 수동 경보 복귀 점검 복귀 경보 대기 대기 자동 통과 통과 경보 복귀,0
5163,자동 경보 진입 지연 통과 통과 자동 수동 복귀 진입 점검 진입 수동 복귀 진입 복귀 지연 대기 통과 경보 복귀 해제 대기 자동 수동 통과 복귀 경보 점검 진입 진입,0
5160,수동 대기 진입 자동 수동 점검 점검 대기 진입 통과 복귀 자동 점검 복귀 점검 지연 통과 점검 해제 수동 진입 자동 경보 경보 통과,1
5267,자동 복귀 지연 대기 자동 지연 경보 대기 점검 진입 대기 통과 진입 복귀 복귀 통과 진입 자동 복귀 수동 수동 대기 대기 수동 대기 진입 해제 지연 대기 대기 경보,0
5144,수동 자동 수동 해제 복귀 지연 대기 자동 경보 통과 해제 대기 복귀 점검 대기 통과 지연 해제 복귀 점검 지연 통과 수동 자동 경보 경보 경보 해제,1
5006,수동 경보 경보 해제 자동 경보 대기 수동 지연 해제 점검 대기 진입 자동 복귀 해제 경보 복귀 자동 경보 통과 해제 진입 점검 대기 경보 복귀 통과 대기 점검 진입 경보 통과 수동,1
5273,자동 통과 통과 대기 진입 수동 지연 대기 경보 해제 복귀 통과 통과 진입 자동 진입 통과 수동 대기 진입 진입 통과 통과 복귀 진입 자동 복귀 지연 복귀 통과 수동 점검 해제 진입 점검 대기,0
5263,자동 복귀 통과 지연 자동 경보 해제 수동 점검 점검 수동 대기 대기 경보 점검 지연 점검 점검 경보 수동 자동 진입 지연 해제 지연 해제 지연 점검 복귀 경보 경보 지연,0
5347,자동 수동 점검 진입 해제 경보 복귀 복귀 해제 대기 점검 대기 진입 진입 통과 지연 자동 수동 통과 복귀 진입 통과 통과 자동 진입 경보 복귀 대기 진입 경보 수동 경보 대기,0
5011,자동 수동 점검 통과 해제 해제 통과 점검 지연 통과 복귀 점검 진입 통과 대기 통과 진입 진입 경보 점검 수동 지연 해제 점검 자동 해제 지연 대기 해제 점검 수동 복귀 자동 해제 지연,0
5361,자동 대기 대기 통과 지연 자동 진입 해제 진입 점검 수동 점검 지연 경보 자동 복귀 진입 대기 지연 통과 복귀 수동 점검 대기 해제 진입 경보 해제 복귀 수동 진입 점검 통과 통과,0
5299,자동 수동 경보 점검 지연 지연 진입 해제 자동 지연 진입 대기 통과 대기 지연 복귀 복귀 점검 대기 해제 대기 자동 점검 진입 대기 수동 수동,0
5368,수동 지연 해제 통과 대기 자동 복귀 해제 경보 점검 복귀 지연 대기 경보 복귀 해제 복귀 점검 진입 자동 지연 해제 경보 자동 해제 점검 대기 수동 대기 수동 진입 대기,1
5250,수동 해제 복귀 경보 해제 통과 복귀 자동 대기 지연 통과 통과 수동 자동 점검 점검 복귀 점검 해제 진입 지연 자동 복귀 대기 진입 점검 수동 경보 경보,1
5130,수동 경보 해제 진입 자동 수동 경보 지연 경보 자동 경보 대기 지연 점검 지연 진입 점검 자동 지연 지연 해제 대기 대기 점검 점검 대기 수동 대기 복귀 복귀 대기,1
5315,자동 수동 지연 대기 수동 자동 지연 해제 진입 지연 경보 경보 통과 통과 해제 지연 통과 점검 수동 자동 대기 진입 해제 해제,0
5182,수동 지연 수동 지연 경보 자동 해제 복귀 대기 경보 지연 수동 복귀 자동 대기 대기 대기 지연 경보 복귀 경보 점검 해제 자동,1
5124,수동 지연 수동 대기 통과 복귀 대기 자동 지연 진입 통과 자동 진입 복귀 통과 통과 수동 점검 경보 점검 통과 지연 통과 지연 지연 점검 대기 경보 지연 지연 자동 경보 경보 진입,1
5195,자동 점검 대기 대기 해제 자동 해제 해제 복귀 자동 점검 대기 경보 경보 점검 수동 수동 경보 지연 복귀 지연 진입 지연 대기 통과 점검 수동 복귀 해제 해제 경보,0
5100,수동 해제 대기 점검 자동 대기 지연 대기 점검 지연 진입 대기 지연 해제 자동 통과 자동 경보 점검 통과 지연 대기 수동 점검 점검 점검 수동 진입,1
5112,수동 복귀 대기 통과 해제 복귀 통과 지연 수동 점검 진입 복귀 자동 점검 통과 해제 점검 지연 수동 점검 경보 자동 자동 지연 복귀,1
5293,자동 수동 대기 수동 진입 경보 복귀 경보 경보 점검 해제 해제 통과 진입 지연 복귀 자동 점검 복귀 점검 수동 대기 진입 자동 지연 대기 복귀 진입 통과 복귀 지연 해제,0
5008,수동 통과 자동 복귀 대기 복귀 지연 수동 대기 지연 대기 경보 진입 자동 통과 대기 수동 점검 점검 점검 자동 경보 해제 통과 경보,1
5367,자동 해제 해제 통과 해제 대기 대기 점검 대기 수동 점검 통과 통과 수동 대기 수동 복귀 통과 자동 자동 경보 대기 지연 통과 경보 진입 지연 진입 대기 해제 통과 해제 대기,0
5056,수동 대기 대기 경보 자동 수동 통과 복귀 해제 해제 경보 해제 통과 복귀 복귀 통과 통과 대기 해제 자동 복귀 해제 수동 진입 점검 진입 복귀 복귀 경보 복귀 통과 대기 자동,1
5304,수동 해제 점검 진입 수동 자동 자동 자동 대기 해제 해제 경보 경보 진입 대기 해제 복귀 지연 복귀 진입 지연 해제 수동 해제 해제 복귀 해제 해제 통과 통과 대기,1
5220,수동 자동 대기 복귀 경보 점검 해제 수동 해제 점검 진입 대기 진입 대기 점검 지연 대기 수동 지연 복귀 진입 자동 복귀 경보 경보 경보 지연 지연 자동,1
5084,수동 대기 대기 점검 진입 점검 수동 해제 통과 지연 대기 자동 자동 경보 수동 자동 진입 해제 통과 해제 통과 진입 복귀 복귀 통과,1
5277,자동 진입 지연 점검 자동 진입 점검 복귀 지연 진입 진입 복귀 수동 수동 지연 진입 지연 자동 경보 경보 해제 수동 지연 대기 진입 해제,0
5204,수동 점검 대기 통과 자동 해제 지연 경보 점검 지연 수동 해제 대기 자동 경보 복귀 수동 점검 점검 지연 대기 대기 대기 진입 진입 지연 점검 통과 대기 통과 복귀 점검 대기 복귀 자동 경보,1
5142,수동 해제 자동 점검 해제 경보 해제 복귀 통과 해제 지연 해제 해제 자동 점검 대기 수동 자동 경보 복귀 해제 수동 대기 경보 점검,1
5114,수동 점검 복귀 통과 경보 자동 통과 해제 경보 해제 수동 해제 수동 자동 지연 진입 점검 통과 점검 지연 진입 해제 해제 자동 해제 지연 통과,1
5177,자동 진입 대기 복귀 경보 지연 수동 진입 대기 진입 수동 해제 자동 진입 자동 대기 복귀 통과 통과 경보 수동 복귀 진입 해제 복귀 지연 복귀 경보 해제 진입 점검 통과 해제 지연,0
5148,수동 자동 경보 해제 통과 해제 해제 해제 경보 복귀 수동 지연 자동 해제 복귀 통과 해제 진입 해제 수동 복귀 통과 해제 자동 진입 복귀 해제,1
5225,자동 점검 점검 점검 자동 수동 복귀 점검 대기 점검 경보 수동 해제 복귀 점검 수동 진입 지연 점검 복귀 자동 복귀 해제 진입 해제 지연 점검 경보 복귀,0
5239,자동 진입 복귀 경보 점검 통과 복귀 지연 자동 경보 대기 해제 지연 해제 지연 진입 점검 점검 대기 지연 해제 지연 통과 지연 대기 해제 통과 수동 수동 지연 자동 대기 해제 지연 수동,0
5045,자동 수동 통과 지연 대기 자동 수동 경보 자동 지연 점검 통과 대기 경보 복귀 지연 경보 통과 해제 지연 통과 복귀 진입 복귀 진입 복귀 점검 해제 수동,0
5359,자동 통과 진입 점검 자동 해제 지연 진입 진입 수동 해제 지연 수동 자동 대기 복귀 진입 수동 지연 통과 지연 지연 진입 대기 진입 통과 복귀,0
5101,자동 통과 자동 복귀 해제 대기 자동 점검 복귀 경보 점검 통과 진입 점검 경보 통과 수동 경보 수동 해제 진입 점검 경보 점검 점검 수동 대기 대기 지연,0
5396,수동 복귀 해제 복귀 자동 진입 대기 대기 자동 대기 지연 해제 수동 점검 복귀 통과 복귀 해제 통과 수동 지연 대기 진입 복귀 해제 자동 점검 지연 통과 점검 지연 복귀 지연 해제 해제,1
5236,수동 대기 자동 지연 지연 경보 경보 해제 통과 진입 자동 경보 점검 경보 지연 대기 지연 복귀 통과 진입 자동 수동 대기 통과 통과 복귀 진입 경보 점검 수동 지연 지연,1
5318,수동 지연 경보 해제 복귀 해제 대기 점검 자동 지연 수동 진입 대기 경보 점검 복귀 자동 해제 복귀 점검 수동 자동 대기 지연 복귀 대기 진입 점검,1
5298,수동 수동 복귀 지연 대기 자동 수동 점검 경보 통과 대기 경보 통과 지연 경보 경보 대기 복귀 진입 진입 자동 진입 자동 복귀 복귀 복귀 지연 통과 통과 통과 통과,1
5188,수동 지연 자동 경보 경보 복귀 점검 통과 복귀 자동 해제 복귀 지연 지연 지연 해제 수동 통과 점검 대기 수동 자동 진입 대기 해제 점검 진입 진입 경보,1
5071,자동 진입 자동 대기 진입 점검 수동 통과 수동 점검 지연 수동 경보 지연 자동 대기 해제 지연 경보 점검 경보 대기 점검 경보 복귀 통과 복귀 경보 경보 진입 경보 해제 통과 해제 통과,0
5244,수동 통과 점검 해제 경보 자동 지연 경보 수동 진입 복귀 경보 해제 통과 점검 자동 점검 자동 지연 수동 지연 복귀 지연 진입,1
5212,수동 진입 복귀 복귀 해제 통과 점검 경보 복귀 진입 지연 지연 점검 자동 통과 진입 지연 점검 진입 수동 통과 진입 수동 자동 진입 지연 지연 자동 점검 통과,1
5391,자동 지연 자동 해제 지연 복귀 점검 수동 해제 지연 진입 점검 진입 수동 경보 지연 수동 진입 통과 해제 점검 자동 해제 지연,0
5166,수동 지연 수동 복귀 지연 자동 통과 대기 경보 복귀 자동 해제 경보 통과 복귀 복귀 자동 점검 진입 대기 해제 대기 통과 수동 통과 대기 통과,1
5197,자동 통과 대기 통과 지연 복귀 대기 수동 통과 진입 점검 대기 경보 경보 해제 진입 복귀 자동 자동 대기 수동 점검 복귀 대기 경보 복귀 수동,0
5328,수동 지연 경보 통과 점검 수동 진입 수동 통과 복귀 경보 대기 자동 복귀 대기 복귀 지연 점검 복귀 자동 진입 복귀 대기 자동 통과 지연,1
5316,수동 진입 자동 대기 대기 해제 복귀 자동 진입 수동 대기 대기 자동 경보 수동 점검 지연 해제 해제 지연 해제 지연 경보 점검 해제 점검,1
5152,수동 경보 수동 지연 통과 해제 복귀 해제 점검 복귀 해제 해제 진입 자동 점검 경보 지연 통과 지연 통과 자동 대기 해제 해제 수동 자동 경보 지연 진입 해제,1
5214,수동 자동 자동 복귀 통과 진입 복귀 복귀 점검 통과 복귀 자동 대기 통과 해제 해제 수동 점검 대기 통과 경보 수동 대기 통과 진입 점검,1
5004,수동 수동 대기 통과 진입 지연 해제 경보 통과 점검 자동 복귀 지연 통과 대기 해제 자동 경보 경보 진입 점검 점검 진입 대기 점검 점검 수동 통과 점검 자동 점검,1
5393,자동 자동 대기 해제 지연 진입 대기 진입 수동 해제 복귀 진입 경보 대기 경보 해제 수동 복귀 경보 복귀 경보 대기 점검 자동 해제 지연 경보 수동 지연,0
5395,자동 복귀 해제 통과 지연 통과 해제 통과 통과 자동 수동 진입 해제 점검 수동 진입 수동 경보 경보 진입 복귀 자동 지연 통과 지연 대기 대기 통과 경보,0
